Rule,Value,Description
MINT.19,156 nm,MINTn[A|B] minimum spacing to MINTn[B|A] wider than 240 nm and longer than 1.8 um
MINT.20,200 nm,MINTn[A|B] minimum spacing to MINTn[B|A] wider than 320 nm and longer than 2.4 um
MINT.21,400 nm,MINTn[A|B] minimum spacing to MINTn[B|A] wider than 600 nm and longer than 2.4 um
MINT.22,40 nm,Minimum overlap of MINTnA and MINTnB (stitch reagion length)
MINT.23,"[28, 2, 28, 2]
[32, 0, 32, 0]
[10, 10, 10, 10]",Allowed enclosures of V(n-1) by MINTn[A|B]
MINT.24,"[32, 2, 32, 2]
[40, 0, 40, 0]
[14, 14, 14, 14]",Allowed enclosures of V(n-1) by MINTn[A|B] on overlapping zone (stitch area)
MINT.26,none,V(n-1) shape must be rectangular if enclosing MINTn[A|B] wire width >= 60nm
MINT.27,0.0024 um2,MINTn[A|B] minimum area for rectangular shape
MINT.28,0.0036 um2,MINTn[A|B] minimum area for non-rectangular shape
VSMGn LAYERS,,
VSMGn.1,none,VSMGn shape is a square or rectangle respecting VSMGn.1.a or VSMGn.1.b. VSMGn.1.b is mandatory when Vn is enclosed by [MSMGn|MSMG(n+1)] shapes with width >= 120nm.
VSMGn.1.a,56 nm,VSMGn is a square with 56nm edge length
VSMGn.1.b,"[56nm, 112nm]","VSMGn is a rectangular of sides = [56nm, 112nm, 56nm, 112nm]"
VSMGn.2,72 nm,Minimum spacing of VSMGn (if runlength exactly 56nm) - Full alignment
VSMGn.3,100 nm,Minimum spacing of VSMGn for runlength < 56nm
VSMGn.4,none,VSMGn must be inside (MSMGn[A|B] and MSMG (n+1) ) or ( MSMG(n)[A|B] and MG1)
VSMGn.5,none,VSMGn shape must be rectangular if enclosing (MSMGn[A|B] if n>1) wire width >= 80nm
MSMGn LAYERS,,
MSMGn.1,56 nm,MSMGn width
MSMGn.2,112 nm,One of two edges connected to the same vertex must have at least
MSMGn.3,1.920 um,Maximum length of MSMGn for wires with min width (56nm)
MSMGn.4,136 nm,MSMGn end-of-Line spacing (EOL edge defined as edge < 64nm)
MSMGn.5,56nm,MSMGn minimum space and notch
MSMGn.6,92 nm,Minimum spacing of MSMGn wider than 64 nm and longer than 480nm
MSMGn.7,120 nm,Minimum spacing of MSMGn wider than 120 nm and longer than 1.2 um
MSMGn.8,240 nm,Minimum spacing of MSMGn wider than 240 nm and longer than 1.8 um
MSMGn.9,320 nm,Minimum spacing of MSMGn wider than 320 nm and longer than 2.4 um
MSMGn.10,600 nm,Minimum spacing of MSMGn wider than 600 nm and longer than 2.4 um
MSMGn.11,"[28, 2, 28, 2]
[32, 0, 32, 0]
[10, 10, 10, 10]",Allowed enclosures of VSMG(n-1) by MSMGn
MSMGn.12,none,VSMG(n-1) center must be aligned to wire center (between the 2 longest edges)
MSMGn.13,none,VSMG(n-1) shape must be rectangular if enclosing wire width >= 120nm
MSMGn.14,0.0024 um2,MSMGn minimum area for rectangular shape
MSMGn.15,0.0036 um2,MSMGn minimum area for non-rectangular shape
VGn LAYERS,,
VG1.1,none,VG1 shape is a square or rectangle respecting VG1.1.a or VG1.1.b. VG1.1.b is mandatory when VG1n is enclosed by [MGn|MG(n+1)] shapes with width >= 240nm.
VG1.1.a,112 nm,VG1 is a square with 112nm edge length
VG1.1.b,"[112nm, 224nm]","VG1 is a rectangular of sides = [112nm, 224nm, 112nm, 224nm]"
VG1.2,144 nm,Minimum spacing of VG1 (if runlength exactly 112nm) - Full alignment
VG1.3,200 nm,Minimum spacing of VG1 for runlength < 112nm
VG1.4,none,VG1 must be inside (MGn[A|B] and MG(n+1)[A|B])
VG1.5,none,"VG1 shape must be rectangular if enclosing (MGn[A|B] if n>1, or MSMG5[A|B] if n=1) wire width >= 160nm"
MGn LAYERS,,
MGn.1,112 nm,MGn width
MGn.2,224nm,One of two edges connected to the same vertex must have at least
MGn.3,3.840 um,Maximum length of MGn for wires with min width (112nm)
MGn.4,272 nm,MGn end-of-Line spacing (EOL edge defined as edge < 128nm)
MGn.5,112nm,MGn minimum space and notch
MGn.6,120 nm,Minimum spacing of MGn wider than 120 nm and longer than 1.2 um
MGn.7,240 nm,Minimum spacing of MGn wider than 240 nm and longer than 1.8 um
MGn.8,320 nm,Minimum spacing of MGn wider than 320 nm and longer than 2.4 um
MGn.9,600 nm,Minimum spacing of MGn wider than 600 nm and longer than 2.4 um
MGn.10,0 nm,Allowed enclosures of VGn by MGn
MGn.11,none,VSMGn center must be aligned to wire center (between the 2 longest edges)
MGn.12,none,VSMGn shape must be rectangular if enclosing wire width >= 160nm
MGn.13,0.0024 um2,MGn minimum area for rectangular shape
MGn.14,0.0036 um2,MGn minimum area for non-rectangular shape
Other Rules,,
GRID,0.5 nm,Shapes on all layers must be on a 0.5 nm grid
ANTENNA,100:01:00,Ratio of Maximum Allowed (GATE[A|B] or Metal Layer Area) to transistor Gate Area
